Algorithm,Cost,Time,Algorithm,Knapsack,Recursive Knapsack,Dynamic,Static
Algorithm,1795,0.002073765,0.002073765,#N/A,#N/A,#N/A,#N/A
Knapsack,5189,0.001214743,#N/A,0.001214743,#N/A,#N/A,#N/A
Recursive Knapsack,5189,0.007400513,#N/A,#N/A,0.007400513,#N/A,#N/A
Dynamic,5239,0.00201273,#N/A,#N/A,#N/A,0.00201273,#N/A
Static,5176,0.002997875,#N/A,#N/A,#N/A,#N/A,0.002997875
Algorithm,1498,0.00113821,0.00113821,#N/A,#N/A,#N/A,#N/A
Knapsack,4849,0.00146699,#N/A,0.00146699,#N/A,#N/A,#N/A
Recursive Knapsack,4849,0.067887068,#N/A,#N/A,0.067887068,#N/A,#N/A
Dynamic,4562,0.003636122,#N/A,#N/A,#N/A,0.003636122,#N/A
Static,3940,0.001010418,#N/A,#N/A,#N/A,#N/A,0.001010418
Algorithm,1808,0.001009464,0.001009464,#N/A,#N/A,#N/A,#N/A
Knapsack,4788,0.001038551,#N/A,0.001038551,#N/A,#N/A,#N/A
Recursive Knapsack,4788,0.061012506,#N/A,#N/A,0.061012506,#N/A,#N/A
Dynamic,4826,0.000999928,#N/A,#N/A,#N/A,0.000999928,#N/A
Static,3305,0.002000093,#N/A,#N/A,#N/A,#N/A,0.002000093
Algorithm,1061,0.001483917,0.001483917,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4380,0.014327288,#N/A,#N/A,0.014327288,#N/A,#N/A
Dynamic,3505,0.000999928,#N/A,#N/A,#N/A,0.000999928,#N/A
Static,5644,0.002003193,#N/A,#N/A,#N/A,#N/A,0.002003193
Algorithm,2191,0.00201869,0.00201869,#N/A,#N/A,#N/A,#N/A
Knapsack,5169,0.001004696,#N/A,0.001004696,#N/A,#N/A,#N/A
Recursive Knapsack,5169,0.010878801,#N/A,#N/A,0.010878801,#N/A,#N/A
Dynamic,5246,0.002127647,#N/A,#N/A,#N/A,0.002127647,#N/A
Static,3565,0.001008272,#N/A,#N/A,#N/A,#N/A,0.001008272
Algorithm,1102,0.002188444,0.002188444,#N/A,#N/A,#N/A,#N/A
Knapsack,4927,0.000980377,#N/A,0.000980377,#N/A,#N/A,#N/A
Recursive Knapsack,4927,0.057516813,#N/A,#N/A,0.057516813,#N/A,#N/A
Dynamic,4114,0.002029181,#N/A,#N/A,#N/A,0.002029181,#N/A
Static,4931,0.000999928,#N/A,#N/A,#N/A,#N/A,0.000999928
Algorithm,1277,0.001001358,0.001001358,#N/A,#N/A,#N/A,#N/A
Knapsack,4611,0.000985146,#N/A,0.000985146,#N/A,#N/A,#N/A
Recursive Knapsack,4611,0.011169672,#N/A,#N/A,0.011169672,#N/A,#N/A
Dynamic,3966,0.002308369,#N/A,#N/A,#N/A,0.002308369,#N/A
Static,6080,0.001998186,#N/A,#N/A,#N/A,#N/A,0.001998186
Algorithm,1205,0.00298357,0.00298357,#N/A,#N/A,#N/A,#N/A
Knapsack,4640,0.002131462,#N/A,0.002131462,#N/A,#N/A,#N/A
Recursive Knapsack,4640,0.018419266,#N/A,#N/A,0.018419266,#N/A,#N/A
Dynamic,3612,0.002003193,#N/A,#N/A,#N/A,0.002003193,#N/A
Static,6065,0.002001286,#N/A,#N/A,#N/A,#N/A,0.002001286
Algorithm,1723,0.00216341,0.00216341,#N/A,#N/A,#N/A,#N/A
Knapsack,4767,0.001004219,#N/A,0.001004219,#N/A,#N/A,#N/A
Recursive Knapsack,4767,0.127025604,#N/A,#N/A,0.127025604,#N/A,#N/A
Dynamic,4818,0.001998425,#N/A,#N/A,#N/A,0.001998425,#N/A
Static,2238,0.000999689,#N/A,#N/A,#N/A,#N/A,0.000999689
Algorithm,1426,0.002028227,0.002028227,#N/A,#N/A,#N/A,#N/A
Knapsack,4970,0.001016855,#N/A,0.001016855,#N/A,#N/A,#N/A
Recursive Knapsack,4970,0.036764145,#N/A,#N/A,0.036764145,#N/A,#N/A
Dynamic,4224,0.001983881,#N/A,#N/A,#N/A,0.001983881,#N/A
Static,4925,0.001004696,#N/A,#N/A,#N/A,#N/A,0.001004696
Algorithm,1245,0.001396418,0.001396418,#N/A,#N/A,#N/A,#N/A
Knapsack,4773,0.001215219,#N/A,0.001215219,#N/A,#N/A,#N/A
Recursive Knapsack,4773,0.016005516,#N/A,#N/A,0.016005516,#N/A,#N/A
Dynamic,4644,0.002494097,#N/A,#N/A,#N/A,0.002494097,#N/A
Static,4424,0.002048254,#N/A,#N/A,#N/A,#N/A,0.002048254
Algorithm,1687,0.003000259,0.003000259,#N/A,#N/A,#N/A,#N/A
Knapsack,4821,0.000997782,#N/A,0.000997782,#N/A,#N/A,#N/A
Recursive Knapsack,4821,0.013282776,#N/A,#N/A,0.013282776,#N/A,#N/A
Dynamic,4659,0.002217293,#N/A,#N/A,#N/A,0.002217293,#N/A
Static,4366,0.002233744,#N/A,#N/A,#N/A,#N/A,0.002233744
Algorithm,1339,0.003288746,0.003288746,#N/A,#N/A,#N/A,#N/A
Knapsack,4712,0.001066923,#N/A,0.001066923,#N/A,#N/A,#N/A
Recursive Knapsack,4712,0.02329874,#N/A,#N/A,0.02329874,#N/A,#N/A
Dynamic,3860,0.001862764,#N/A,#N/A,#N/A,0.001862764,#N/A
Static,6117,0.00301218,#N/A,#N/A,#N/A,#N/A,0.00301218
Algorithm,1272,0.001010895,0.001010895,#N/A,#N/A,#N/A,#N/A
Knapsack,4566,0.000998735,#N/A,0.000998735,#N/A,#N/A,#N/A
Recursive Knapsack,4566,0.14731431,#N/A,#N/A,0.14731431,#N/A,#N/A
Dynamic,4372,0.002004385,#N/A,#N/A,#N/A,0.002004385,#N/A
Static,3161,0.002000332,#N/A,#N/A,#N/A,#N/A,0.002000332
Algorithm,782,0.00099802,0.00099802,#N/A,#N/A,#N/A,#N/A
Knapsack,4558,0.00099802,#N/A,0.00099802,#N/A,#N/A,#N/A
Recursive Knapsack,4558,0.017366409,#N/A,#N/A,0.017366409,#N/A,#N/A
Dynamic,3829,0.003020287,#N/A,#N/A,#N/A,0.003020287,#N/A
Static,6041,0.000999212,#N/A,#N/A,#N/A,#N/A,0.000999212
Algorithm,1795,0.001012564,0.001012564,#N/A,#N/A,#N/A,#N/A
Knapsack,5268,0.000999212,#N/A,0.000999212,#N/A,#N/A,#N/A
Recursive Knapsack,5268,0.196234226,#N/A,#N/A,0.196234226,#N/A,#N/A
Dynamic,4806,0.002000093,#N/A,#N/A,#N/A,0.002000093,#N/A
Static,6236,0.001999855,#N/A,#N/A,#N/A,#N/A,0.001999855
Algorithm,1666,0.001485825,0.001485825,#N/A,#N/A,#N/A,#N/A
Knapsack,4999,0.001089811,#N/A,0.001089811,#N/A,#N/A,#N/A
Recursive Knapsack,4999,0.070053101,#N/A,#N/A,0.070053101,#N/A,#N/A
Dynamic,4876,0.001615524,#N/A,#N/A,#N/A,0.001615524,#N/A
Static,4408,0.001030922,#N/A,#N/A,#N/A,#N/A,0.001030922
Algorithm,1967,0.002287388,0.002287388,#N/A,#N/A,#N/A,#N/A
Knapsack,5212,0.001014233,#N/A,0.001014233,#N/A,#N/A,#N/A
Recursive Knapsack,5212,0.008779049,#N/A,#N/A,0.008779049,#N/A,#N/A
Dynamic,5597,0.002395868,#N/A,#N/A,#N/A,0.002395868,#N/A
Static,5952,0.001080036,#N/A,#N/A,#N/A,#N/A,0.001080036
Algorithm,1123,0.002331972,0.002331972,#N/A,#N/A,#N/A,#N/A
Knapsack,4741,0.000997066,#N/A,0.000997066,#N/A,#N/A,#N/A
Recursive Knapsack,4741,0.039859772,#N/A,#N/A,0.039859772,#N/A,#N/A
Dynamic,4622,0.000999451,#N/A,#N/A,#N/A,0.000999451,#N/A
Static,5422,0.00199914,#N/A,#N/A,#N/A,#N/A,0.00199914
Algorithm,1908,0.001994371,0.001994371,#N/A,#N/A,#N/A,#N/A
Knapsack,5170,0.001022816,#N/A,0.001022816,#N/A,#N/A,#N/A
Recursive Knapsack,5170,0.013267517,#N/A,#N/A,0.013267517,#N/A,#N/A
Dynamic,4788,0.001018763,#N/A,#N/A,#N/A,0.001018763,#N/A
Static,5648,0.001053333,#N/A,#N/A,#N/A,#N/A,0.001053333
Algorithm,903,0.002035379,0.002035379,#N/A,#N/A,#N/A,#N/A
Knapsack,4148,0.000985861,#N/A,0.000985861,#N/A,#N/A,#N/A
Recursive Knapsack,4148,0.01429224,#N/A,#N/A,0.01429224,#N/A,#N/A
Dynamic,2932,0.001083374,#N/A,#N/A,#N/A,0.001083374,#N/A
Static,5314,0.003488779,#N/A,#N/A,#N/A,#N/A,0.003488779
Algorithm,1377,0.002472878,0.002472878,#N/A,#N/A,#N/A,#N/A
Knapsack,4798,0.001166582,#N/A,0.001166582,#N/A,#N/A,#N/A
Recursive Knapsack,4798,0.164822817,#N/A,#N/A,0.164822817,#N/A,#N/A
Dynamic,4026,0.001999855,#N/A,#N/A,#N/A,0.001999855,#N/A
Static,6380,0.002000093,#N/A,#N/A,#N/A,#N/A,0.002000093
Algorithm,1653,0.001645088,0.001645088,#N/A,#N/A,#N/A,#N/A
Knapsack,4664,0.000998259,#N/A,0.000998259,#N/A,#N/A,#N/A
Recursive Knapsack,inf,0.117869139,#N/A,#N/A,0.117869139,#N/A,#N/A
Dynamic,5076,0.002099037,#N/A,#N/A,#N/A,0.002099037,#N/A
Static,1547,0.001055479,#N/A,#N/A,#N/A,#N/A,0.001055479
Algorithm,2288,0.00215292,0.00215292,#N/A,#N/A,#N/A,#N/A
Knapsack,4910,0.001026392,#N/A,0.001026392,#N/A,#N/A,#N/A
Recursive Knapsack,4910,0.007229567,#N/A,#N/A,0.007229567,#N/A,#N/A
Dynamic,5435,0.002381802,#N/A,#N/A,#N/A,0.002381802,#N/A
Static,2715,0.001450062,#N/A,#N/A,#N/A,#N/A,0.001450062
Algorithm,1640,0.001438856,0.001438856,#N/A,#N/A,#N/A,#N/A
Knapsack,5218,0.001010656,#N/A,0.001010656,#N/A,#N/A,#N/A
Recursive Knapsack,5218,0.027950287,#N/A,#N/A,0.027950287,#N/A,#N/A
Dynamic,4665,0.001490831,#N/A,#N/A,#N/A,0.001490831,#N/A
Static,4348,0.002443314,#N/A,#N/A,#N/A,#N/A,0.002443314
Algorithm,1437,0.002525091,0.002525091,#N/A,#N/A,#N/A,#N/A
Knapsack,4866,0.001312494,#N/A,0.001312494,#N/A,#N/A,#N/A
Recursive Knapsack,4866,0.013838768,#N/A,#N/A,0.013838768,#N/A,#N/A
Dynamic,4324,0.002014875,#N/A,#N/A,#N/A,0.002014875,#N/A
Static,5897,0.001996756,#N/A,#N/A,#N/A,#N/A,0.001996756
Algorithm,1407,0.002708197,0.002708197,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,5050,0.061106205,#N/A,#N/A,0.061106205,#N/A,#N/A
Dynamic,4036,0.002001047,#N/A,#N/A,#N/A,0.002001047,#N/A
Static,6729,0.002131701,#N/A,#N/A,#N/A,#N/A,0.002131701
Algorithm,1445,0.001007795,0.001007795,#N/A,#N/A,#N/A,#N/A
Knapsack,4795,0.001009703,#N/A,0.001009703,#N/A,#N/A,#N/A
Recursive Knapsack,4795,0.215364933,#N/A,#N/A,0.215364933,#N/A,#N/A
Dynamic,3921,0.002065659,#N/A,#N/A,#N/A,0.002065659,#N/A
Static,6435,0.001554012,#N/A,#N/A,#N/A,#N/A,0.001554012
Algorithm,1358,0.001333475,0.001333475,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4462,0.267054319,#N/A,#N/A,0.267054319,#N/A,#N/A
Dynamic,3555,0.000999928,#N/A,#N/A,#N/A,0.000999928,#N/A
Static,4811,0.002000093,#N/A,#N/A,#N/A,#N/A,0.002000093
Algorithm,2065,0.001884937,0.001884937,#N/A,#N/A,#N/A,#N/A
Knapsack,5033,0.001009941,#N/A,0.001009941,#N/A,#N/A,#N/A
Recursive Knapsack,5033,0.112314224,#N/A,#N/A,0.112314224,#N/A,#N/A
Dynamic,5257,0.001124144,#N/A,#N/A,#N/A,0.001124144,#N/A
Static,4237,0.001963615,#N/A,#N/A,#N/A,#N/A,0.001963615
Algorithm,1185,0.003386497,0.003386497,#N/A,#N/A,#N/A,#N/A
Knapsack,4533,0.001016855,#N/A,0.001016855,#N/A,#N/A,#N/A
Recursive Knapsack,4533,0.130382299,#N/A,#N/A,0.130382299,#N/A,#N/A
Dynamic,3519,0.001984835,#N/A,#N/A,#N/A,0.001984835,#N/A
Static,4916,0.001308203,#N/A,#N/A,#N/A,#N/A,0.001308203
Algorithm,1525,0.002345324,0.002345324,#N/A,#N/A,#N/A,#N/A
Knapsack,5150,0.001464367,#N/A,0.001464367,#N/A,#N/A,#N/A
Recursive Knapsack,5150,0.127656937,#N/A,#N/A,0.127656937,#N/A,#N/A
Dynamic,4590,0.001999855,#N/A,#N/A,#N/A,0.001999855,#N/A
Static,4760,0.001000643,#N/A,#N/A,#N/A,#N/A,0.001000643
Algorithm,1581,0.00133729,0.00133729,#N/A,#N/A,#N/A,#N/A
Knapsack,4998,0.001008749,#N/A,0.001008749,#N/A,#N/A,#N/A
Recursive Knapsack,4998,0.018313885,#N/A,#N/A,0.018313885,#N/A,#N/A
Dynamic,4707,0.002150059,#N/A,#N/A,#N/A,0.002150059,#N/A
Static,5001,0.00251627,#N/A,#N/A,#N/A,#N/A,0.00251627
Algorithm,1480,0.001000881,0.001000881,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,5011,0.112271309,#N/A,#N/A,0.112271309,#N/A,#N/A
Dynamic,4284,0.001697302,#N/A,#N/A,#N/A,0.001697302,#N/A
Static,5268,0.002030134,#N/A,#N/A,#N/A,#N/A,0.002030134
Algorithm,1838,0.001009464,0.001009464,#N/A,#N/A,#N/A,#N/A
Knapsack,5266,0.000998259,#N/A,0.000998259,#N/A,#N/A,#N/A
Recursive Knapsack,5266,0.048393488,#N/A,#N/A,0.048393488,#N/A,#N/A
Dynamic,4595,0.001000404,#N/A,#N/A,#N/A,0.001000404,#N/A
Static,7395,0.00199914,#N/A,#N/A,#N/A,#N/A,0.00199914
Algorithm,1738,0.002314806,0.002314806,#N/A,#N/A,#N/A,#N/A
Knapsack,5132,0.001143694,#N/A,0.001143694,#N/A,#N/A,#N/A
Recursive Knapsack,5132,0.007781744,#N/A,#N/A,0.007781744,#N/A,#N/A
Dynamic,4716,0.00139904,#N/A,#N/A,#N/A,0.00139904,#N/A
Static,6870,0.00246191,#N/A,#N/A,#N/A,#N/A,0.00246191
Algorithm,1371,0.001998663,0.001998663,#N/A,#N/A,#N/A,#N/A
Knapsack,4834,0.001003504,#N/A,0.001003504,#N/A,#N/A,#N/A
Recursive Knapsack,4834,0.012502193,#N/A,#N/A,0.012502193,#N/A,#N/A
Dynamic,4484,0.001996517,#N/A,#N/A,#N/A,0.001996517,#N/A
Static,6010,0.001098156,#N/A,#N/A,#N/A,#N/A,0.001098156
Algorithm,1280,0.002409697,0.002409697,#N/A,#N/A,#N/A,#N/A
Knapsack,4719,0.001169682,#N/A,0.001169682,#N/A,#N/A,#N/A
Recursive Knapsack,4719,0.032793283,#N/A,#N/A,0.032793283,#N/A,#N/A
Dynamic,3187,0.002483845,#N/A,#N/A,#N/A,0.002483845,#N/A
Static,5635,0.001065016,#N/A,#N/A,#N/A,#N/A,0.001065016
Algorithm,1817,0.001000643,0.001000643,#N/A,#N/A,#N/A,#N/A
Knapsack,4707,0.001000881,#N/A,0.001000881,#N/A,#N/A,#N/A
Recursive Knapsack,4707,0.015688658,#N/A,#N/A,0.015688658,#N/A,#N/A
Dynamic,5133,0.002010345,#N/A,#N/A,#N/A,0.002010345,#N/A
Static,2425,0.001007318,#N/A,#N/A,#N/A,#N/A,0.001007318
Algorithm,1867,0.003000975,0.003000975,#N/A,#N/A,#N/A,#N/A
Knapsack,4969,0.001462221,#N/A,0.001462221,#N/A,#N/A,#N/A
Recursive Knapsack,4969,0.017583132,#N/A,#N/A,0.017583132,#N/A,#N/A
Dynamic,4654,0.001519442,#N/A,#N/A,#N/A,0.001519442,#N/A
Static,4817,0.000997543,#N/A,#N/A,#N/A,#N/A,0.000997543
Algorithm,969,0.00301218,0.00301218,#N/A,#N/A,#N/A,#N/A
Knapsack,4719,0.001090527,#N/A,0.001090527,#N/A,#N/A,#N/A
Recursive Knapsack,4719,0.040419579,#N/A,#N/A,0.040419579,#N/A,#N/A
Dynamic,3195,0.001999617,#N/A,#N/A,#N/A,0.001999617,#N/A
Static,6087,0.001000404,#N/A,#N/A,#N/A,#N/A,0.001000404
Algorithm,1866,0.001350403,0.001350403,#N/A,#N/A,#N/A,#N/A
Knapsack,4865,0.001018047,#N/A,0.001018047,#N/A,#N/A,#N/A
Recursive Knapsack,4865,0.028062344,#N/A,#N/A,0.028062344,#N/A,#N/A
Dynamic,4569,0.000999928,#N/A,#N/A,#N/A,0.000999928,#N/A
Static,2580,0.002005577,#N/A,#N/A,#N/A,#N/A,0.002005577
Algorithm,1547,0.001171112,0.001171112,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4529,0.010839224,#N/A,#N/A,0.010839224,#N/A,#N/A
Dynamic,5063,0.002621412,#N/A,#N/A,#N/A,0.002621412,#N/A
Static,2755,0.002397299,#N/A,#N/A,#N/A,#N/A,0.002397299
Algorithm,1005,0.001443386,0.001443386,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4349,0.035357237,#N/A,#N/A,0.035357237,#N/A,#N/A
Dynamic,3307,0.001999855,#N/A,#N/A,#N/A,0.001999855,#N/A
Static,5091,0.001003265,#N/A,#N/A,#N/A,#N/A,0.001003265
Algorithm,1317,0.002001047,0.002001047,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4667,0.010435581,#N/A,#N/A,0.010435581,#N/A,#N/A
Dynamic,4239,0.001431942,#N/A,#N/A,#N/A,0.001431942,#N/A
Static,6286,0.001010656,#N/A,#N/A,#N/A,#N/A,0.001010656
Algorithm,1739,0.001022816,0.001022816,#N/A,#N/A,#N/A,#N/A
Knapsack,4516,0.001269817,#N/A,0.001269817,#N/A,#N/A,#N/A
Recursive Knapsack,4516,0.007591963,#N/A,#N/A,0.007591963,#N/A,#N/A
Dynamic,4979,0.001013756,#N/A,#N/A,#N/A,0.001013756,#N/A
Static,1926,0.002519131,#N/A,#N/A,#N/A,#N/A,0.002519131
Algorithm,1814,0.002000093,0.002000093,#N/A,#N/A,#N/A,#N/A
Knapsack,4918,0.001001835,#N/A,0.001001835,#N/A,#N/A,#N/A
Recursive Knapsack,4918,0.118976355,#N/A,#N/A,0.118976355,#N/A,#N/A
Dynamic,5059,0.002001524,#N/A,#N/A,#N/A,0.002001524,#N/A
Static,4726,0.002438068,#N/A,#N/A,#N/A,#N/A,0.002438068
Algorithm,1969,0.002000332,0.002000332,#N/A,#N/A,#N/A,#N/A
Knapsack,5082,0.001129866,#N/A,0.001129866,#N/A,#N/A,#N/A
Recursive Knapsack,5082,0.047534466,#N/A,#N/A,0.047534466,#N/A,#N/A
Dynamic,5073,0.00099659,#N/A,#N/A,#N/A,0.00099659,#N/A
Static,3100,0.001999617,#N/A,#N/A,#N/A,#N/A,0.001999617
Algorithm,1363,0.002176046,0.002176046,#N/A,#N/A,#N/A,#N/A
Knapsack,4751,0.001001596,#N/A,0.001001596,#N/A,#N/A,#N/A
Recursive Knapsack,4751,0.032928705,#N/A,#N/A,0.032928705,#N/A,#N/A
Dynamic,4417,0.001011133,#N/A,#N/A,#N/A,0.001011133,#N/A
Static,5170,0.002092123,#N/A,#N/A,#N/A,#N/A,0.002092123
Algorithm,1531,0.001289129,0.001289129,#N/A,#N/A,#N/A,#N/A
Knapsack,4613,0.001051188,#N/A,0.001051188,#N/A,#N/A,#N/A
Recursive Knapsack,4613,0.134608984,#N/A,#N/A,0.134608984,#N/A,#N/A
Dynamic,4624,0.001070738,#N/A,#N/A,#N/A,0.001070738,#N/A
Static,4545,0.001968384,#N/A,#N/A,#N/A,#N/A,0.001968384
Algorithm,1217,0.001001835,0.001001835,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4642,0.024260998,#N/A,#N/A,0.024260998,#N/A,#N/A
Dynamic,3377,0.001987457,#N/A,#N/A,#N/A,0.001987457,#N/A
Static,6268,0.000999928,#N/A,#N/A,#N/A,#N/A,0.000999928
Algorithm,1026,0.001515865,0.001515865,#N/A,#N/A,#N/A,#N/A
Knapsack,4349,0.000997066,#N/A,0.000997066,#N/A,#N/A,#N/A
Recursive Knapsack,4349,0.19871974,#N/A,#N/A,0.19871974,#N/A,#N/A
Dynamic,3516,0.00341177,#N/A,#N/A,#N/A,0.00341177,#N/A
Static,6134,0.002982378,#N/A,#N/A,#N/A,#N/A,0.002982378
Algorithm,2050,0.002855301,0.002855301,#N/A,#N/A,#N/A,#N/A
Knapsack,5029,0.001270294,#N/A,0.001270294,#N/A,#N/A,#N/A
Recursive Knapsack,5029,0.009077311,#N/A,#N/A,0.009077311,#N/A,#N/A
Dynamic,5168,0.002501011,#N/A,#N/A,#N/A,0.002501011,#N/A
Static,4014,0.002147675,#N/A,#N/A,#N/A,#N/A,0.002147675
Algorithm,1223,0.001993895,0.001993895,#N/A,#N/A,#N/A,#N/A
Knapsack,4532,0.001017094,#N/A,0.001017094,#N/A,#N/A,#N/A
Recursive Knapsack,4532,0.010063648,#N/A,#N/A,0.010063648,#N/A,#N/A
Dynamic,3920,0.001004219,#N/A,#N/A,#N/A,0.001004219,#N/A
Static,5139,0.001494884,#N/A,#N/A,#N/A,#N/A,0.001494884
Algorithm,1476,0.001250267,0.001250267,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,4758,0.010924101,#N/A,#N/A,0.010924101,#N/A,#N/A
Dynamic,4424,0.00101757,#N/A,#N/A,#N/A,0.00101757,#N/A
Static,6092,0.001998425,#N/A,#N/A,#N/A,#N/A,0.001998425
Algorithm,1527,0.001009703,0.001009703,#N/A,#N/A,#N/A,#N/A
Knapsack,4799,0.002133608,#N/A,0.002133608,#N/A,#N/A,#N/A
Recursive Knapsack,4799,0.010817289,#N/A,#N/A,0.010817289,#N/A,#N/A
Dynamic,4641,0.002019644,#N/A,#N/A,#N/A,0.002019644,#N/A
Static,6175,0.001006126,#N/A,#N/A,#N/A,#N/A,0.001006126
Algorithm,1487,0.002063274,0.002063274,#N/A,#N/A,#N/A,#N/A
Knapsack,5051,0.00107789,#N/A,0.00107789,#N/A,#N/A,#N/A
Recursive Knapsack,5051,0.148164034,#N/A,#N/A,0.148164034,#N/A,#N/A
Dynamic,4467,0.001999617,#N/A,#N/A,#N/A,0.001999617,#N/A
Static,4830,0.00200057,#N/A,#N/A,#N/A,#N/A,0.00200057
Algorithm,1572,0.00298357,0.00298357,#N/A,#N/A,#N/A,#N/A
Knapsack,4908,0.001193047,#N/A,0.001193047,#N/A,#N/A,#N/A
Recursive Knapsack,4908,0.188785553,#N/A,#N/A,0.188785553,#N/A,#N/A
Dynamic,4563,0.002304554,#N/A,#N/A,#N/A,0.002304554,#N/A
Static,5122,0.002009392,#N/A,#N/A,#N/A,#N/A,0.002009392
Algorithm,1108,0.002988338,0.002988338,#N/A,#N/A,#N/A,#N/A
Knapsack,5020,0.001001358,#N/A,0.001001358,#N/A,#N/A,#N/A
Recursive Knapsack,5020,0.016689777,#N/A,#N/A,0.016689777,#N/A,#N/A
Dynamic,4239,0.002221823,#N/A,#N/A,#N/A,0.002221823,#N/A
Static,7109,0.001471758,#N/A,#N/A,#N/A,#N/A,0.001471758
Algorithm,1602,0.001405478,0.001405478,#N/A,#N/A,#N/A,#N/A
Recursive Knapsack,5346,0.289656878,#N/A,#N/A,0.289656878,#N/A,#N/A
Dynamic,4473,0.001999855,#N/A,#N/A,#N/A,0.001999855,#N/A
Static,6388,0.001000166,#N/A,#N/A,#N/A,#N/A,0.001000166
Algorithm,1602,0.0011296272277832031
Knapsack,5346,0.0
Recursive Knapsack,5346,0.18427586555480957
Dynamic,4473,0.0009982585906982422
Static,6388,0.0009999275207519531
Algorithm,1602,0.001007080078125
Knapsack,5346,0.001031637191772461
Recursive Knapsack,5346,0.17925167083740234
Dynamic,4473,0.0010051727294921875
Static,6388,0.0009999275207519531
Algorithm,1602,0.0009982585906982422
Knapsack,5346,0.0
Recursive Knapsack,5346,0.18154096603393555
Dynamic,4473,0.0
Static,6388,0.0015037059783935547
Algorithm,1602,0.0012269020080566406
Knapsack,5346,0.0
Recursive Knapsack,5346,0.17942142486572266
Dynamic,4473,0.0018622875213623047
Static,6388,0.0010225772857666016
Algorithm,1602,0.0020101070404052734
Knapsack,5346,0.0
Recursive Knapsack,5346,0.1792750358581543
Dynamic,4473,0.0020046234130859375
Static,6388,0.0010008811950683594
Algorithm,1602,0.0009884834289550781
Knapsack,5346,0.0
Recursive Knapsack,5346,0.18125462532043457
Dynamic,4473,0.0010013580322265625
Static,6388,0.00150299072265625
Algorithm,1602,0.0010514259338378906
Knapsack,5346,0.001001596450805664
Recursive Knapsack,5346,0.18299508094787598
Dynamic,4473,0.0010082721710205078
Static,6388,0.0009999275207519531
Algorithm,1602,0.0010080337524414062
Knapsack,5346,0.0
Recursive Knapsack,5346,0.1798233985900879
Dynamic,4473,0.0009996891021728516
Static,6388,0.0009999275207519531
Algorithm,1602,0.0011429786682128906
Knapsack,5346,0.001047372817993164
Recursive Knapsack,5346,0.1890552043914795
Dynamic,4473,0.002118349075317383
Static,6388,0.0010066032409667969
Algorithm,1602,0.0009980201721191406
Knapsack,5346,0.0009996891021728516
Recursive Knapsack,5346,0.1965188980102539
Dynamic,4473,0.0010044574737548828
Static,6388,0.0010001659393310547
Algorithm,1602,0.0012087821960449219
Knapsack,5346,0.0013778209686279297
Recursive Knapsack,5346,0.1804370880126953
Dynamic,4473,0.0012629032135009766
Static,6388,0.0
Algorithm,1602,0.0009980201721191406
Knapsack,5346,0.0010008811950683594
Recursive Knapsack,5346,0.18033528327941895
Dynamic,4473,0.0010225772857666016
Static,6388,0.0010068416595458984
Algorithm,1602,0.001007080078125
Knapsack,5346,0.0
Recursive Knapsack,5346,0.2416400909423828
Dynamic,4473,0.0011696815490722656
Static,6388,0.001005411148071289
Algorithm,1602,0.0009996891021728516
Knapsack,5346,0.0010001659393310547
Recursive Knapsack,5346,0.18812870979309082
Dynamic,4473,0.0010020732879638672
Static,6388,0.0
